facility_id,facility_name,district,region,commodity_id,commodity_name,period,consumption,issues,stock_on_hand,days_stock_out,outpatient_visits
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-11,340,340,160,0,1290
F002,Area 25 Health Centre,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-12,405,400,70,6,1480

F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-01,680,670,320,0,2150
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-02,720,710,250,3,2280
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-03,650,650,380,0,1980
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-04,810,800,180,4,2450
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-05,690,690,290,1,2120
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-06,710,700,310,0,2190
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-07,850,840,120,6,2580
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-08,740,740,240,2,2310
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-09,670,660,330,0,2050
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-10,780,770,190,5,2390
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-11,720,720,270,1,2220
F003,Mitundu Rural Hospital,Lilongwe,Central,CM001,Artemether-Lumefantrine (AL) 6x1,2024-12,830,820,140,7,2510

F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-01,450,440,210,0,1680
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-02,520,510,140,4,1820
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-03,480,480,190,0,1750
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-04,610,600,80,6,1980
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-05,490,490,170,2,1710
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-06,470,460,200,1,1650
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-07,580,570,90,5,1890
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-08,530,530,150,0,1790
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-09,460,450,210,3,1620
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-10,550,540,120,4,1850
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-11,500,500,180,0,1730
F004,Chilomoni Health Centre,Blantyre,Southern,CM001,Artemether-Lumefantrine (AL) 6x1,2024-12,590,580,95,7,1920
  Add sample consumption data
